127.0.0.1 - - [28/Jan/2018:12:07:16 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:23 +0530] "GET /LestLearnBootstrap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:24 +0530] "GET /LestLearnBootstrap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:34 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:34 +0530] "GET /LestLearnBootstrap/css/bootstrap-reboot.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:34 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:34 +0530] "GET /LestLearnBootstrap/css/bootstrap-grid.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:35 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:35 +0530] "GET /LestLearnBootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:35 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 200 12406
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:45 +0530] "GET /LestLearnBootstrap/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:07:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:08:20 +0530] "GET /LestLearnBootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:08:20 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:08:21 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
